City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,iqaluit,20,CA,1537862400,74,63.75,-68.52,33.8,4.7
1,ushuaia,75,AR,1537862400,55,-54.81,-68.31,35.6,13.87
2,vaini,56,IN,1537865287,64,15.34,74.49,84.58,3.87
3,yellowknife,5,CA,1537862400,92,62.45,-114.38,30.2,6.93
4,butaritari,48,KI,1537865288,100,3.07,172.79,84.94,9.13
5,kapaa,90,US,1537862160,100,22.08,-159.32,78.08,7.34
6,yamada,75,JP,1537862400,72,36.58,137.08,68.0,8.05
7,pitimbu,40,BR,1537862400,100,-7.47,-34.81,71.6,11.88
8,punta arenas,0,CL,1537862400,79,-53.16,-70.91,28.4,4.7
9,rio gallegos,0,AR,1537862400,86,-51.62,-69.22,28.4,4.7
10,mahebourg,40,MU,1537862400,57,-20.41,57.7,80.6,12.75
11,puri,20,ID,1537862400,36,-7.54,112.45,93.2,13.87
12,rikitea,88,PF,1537865291,100,-23.12,-134.97,70.81,22.88
13,ambanja,20,MG,1537862400,48,-13.68,48.45,86.0,6.93
14,tuktoyaktuk,64,CA,1537865291,100,69.44,-133.03,28.33,10.25
15,yarada,0,IN,1537865012,100,17.65,83.27,84.76,13.78
16,adrar,0,DZ,1537862400,47,27.87,-0.29,78.8,5.82
17,talaya,92,RU,1537865292,97,55.79,84.89,50.65,12.93
18,ilulissat,92,GL,1537861800,92,69.22,-51.1,30.2,5.82
19,busselton,0,AU,1537865293,98,-33.64,115.35,62.53,13.04
20,mataura,92,NZ,1537865293,93,-46.19,168.86,42.55,26.91
21,narsaq,20,GL,1537861800,83,60.91,-46.05,32.0,4.7
22,berlevag,40,NO,1537863600,86,70.86,29.09,37.4,20.8
23,sun city west,1,US,1537864500,15,33.66,-112.34,87.08,6.93
24,cape town,75,ZA,1537862400,72,-33.93,18.42,59.0,18.34
25,clyde river,90,CA,1537862400,79,70.47,-68.59,21.2,3.36
26,puerto ayora,92,EC,1537865296,100,-0.74,-90.35,69.01,11.32
27,celestun,36,MX,1537865296,100,20.87,-90.4,81.16,11.81
28,concepcion del uruguay,88,AR,1537865296,69,-32.48,-58.24,59.83,15.05
29,torbay,90,CA,1537862400,80,47.66,-52.73,44.6,10.29
30,bayshore gardens,1,US,1537864500,100,27.43,-82.59,80.06,6.93
31,tarabuco,80,BO,1537865297,99,-19.18,-64.92,50.29,2.86
32,beira,0,ES,1537864200,55,43.2,-8.36,62.6,2.24
33,tabuk,24,PH,1537865298,70,17.41,121.44,77.83,2.3
34,north platte,1,US,1537861980,89,41.12,-100.77,51.98,6.93
35,hermanus,44,ZA,1537865298,80,-34.42,19.24,57.31,10.09
36,teguldet,92,RU,1537865299,98,57.31,88.17,50.11,8.23
37,port elizabeth,90,US,1537864020,100,39.31,-74.98,69.8,16.11
38,victoria,75,BN,1537864200,66,5.28,115.24,87.8,4.7
39,kenai,1,US,1537862160,71,60.55,-151.26,51.08,18.34
40,coihaique,20,CL,1537862400,93,-45.58,-72.07,35.6,5.82
41,souillac,20,FR,1537864200,54,45.6,-0.6,57.2,18.34
42,tasiilaq,12,GL,1537861800,74,65.61,-37.64,33.8,4.7
43,new norfolk,75,AU,1537864200,53,-42.78,147.06,50.0,10.29
44,port alfred,8,ZA,1537865301,73,-33.59,26.89,74.14,15.9
45,russell,0,AR,1537862400,71,-33.01,-68.8,50.0,2.19
46,geraldton,90,CA,1537864920,100,49.72,-86.95,51.8,3.36
47,bluff,48,AU,1537865302,38,-23.58,149.07,75.67,9.24
48,longyearbyen,75,NO,1537863600,80,78.22,15.63,35.6,16.11
49,saint-pierre,0,FR,1537864200,76,48.95,4.24,53.6,12.75
50,barrow,12,AR,1537865304,90,-38.31,-60.23,43.81,8.23
51,pochutla,64,MX,1537865304,100,15.74,-96.47,80.44,2.75
52,cherskiy,48,RU,1537865304,91,68.75,161.3,31.93,3.49
53,bellevue,1,US,1537863300,77,47.61,-122.19,55.94,4.76
54,ornes,0,FR,1537864200,71,49.25,5.47,51.8,11.41
55,boa vista,0,BR,1537862400,78,2.82,-60.67,78.8,4.7
56,upernavik,80,GL,1537865307,100,72.79,-56.15,29.95,5.73
57,hilo,92,US,1537865308,100,19.71,-155.08,75.85,9.53
58,esperance,20,TT,1537862400,94,10.24,-61.45,75.2,5.21
59,atherton,0,GB,1537863600,81,53.52,-2.49,48.2,4.7
60,castro,76,CL,1537865309,87,-42.48,-73.76,44.53,8.01
61,albany,90,US,1537862040,71,42.65,-73.75,51.98,4.7
62,kapit,88,MY,1537865310,95,2.02,112.94,76.03,1.36
63,port blair,64,IN,1537865310,100,11.67,92.75,81.16,8.01
64,virovitica,40,HR,1537863300,50,45.83,17.39,53.6,17.22
65,qaanaaq,0,GL,1537865310,100,77.48,-69.36,10.78,8.75
66,mercedes,92,UY,1537865311,64,-33.25,-58.03,58.93,16.13
67,avarua,20,CK,1537862400,78,-21.21,-159.78,71.6,5.82
68,madimba,75,CM,1537862400,83,4.42,9.93,82.4,5.82
69,nome,90,US,1537863300,91,30.04,-94.42,77.0,3.09
70,norman wells,75,CA,1537862400,100,65.28,-126.83,28.4,5.82
71,zhigansk,80,RU,1537865313,68,66.77,123.37,46.51,6.22
72,nuuk,92,GL,1537861800,93,64.17,-51.74,35.6,3.36
73,hobart,75,AU,1537864200,53,-42.88,147.33,50.0,10.29
74,vao,44,EE,1537865313,63,59.1,26.19,47.41,15.17
75,faanui,76,PF,1537865314,100,-16.48,-151.75,78.01,15.68
76,tiksi,92,RU,1537865314,98,71.64,128.87,35.08,10.8
77,broken hill,0,AU,1537865314,38,-31.97,141.45,62.26,9.35
78,bredasdorp,36,ZA,1537862400,55,-34.53,20.04,66.2,18.34
79,saint-philippe,1,CA,1537863300,81,45.36,-73.48,53.6,10.29
80,balkanabat,0,TM,1537865315,28,39.51,54.36,84.49,2.08
81,pak phanang,75,TH,1537862400,66,8.35,100.2,84.2,12.75
82,donskoye,0,RU,1537862400,42,45.45,41.98,80.6,8.95
83,sitka,64,US,1537865316,68,37.17,-99.65,65.05,9.31
84,chuy,68,UY,1537865316,85,-33.69,-53.46,57.94,10.8
85,meulaboh,20,ID,1537865317,100,4.14,96.13,82.06,4.83
86,atuona,20,PF,1537865317,100,-9.8,-139.03,79.63,8.01
87,ribeira grande,20,PT,1537864200,68,38.52,-28.7,69.8,6.93
88,sault sainte marie,90,CA,1537863300,96,46.49,-84.36,62.06,4.7
89,manokwari,76,ID,1537865318,100,-0.87,134.08,82.51,3.83
90,jucas,0,BR,1537865318,64,-6.53,-39.53,76.12,10.8
91,qaqortoq,20,GL,1537861800,100,60.72,-46.03,32.0,4.7
92,maua,8,KE,1537865319,70,0.23,37.94,73.33,8.01
93,chokurdakh,88,RU,1537865319,92,70.62,147.9,34.54,6.89
94,rocha,8,UY,1537865319,89,-34.48,-54.34,47.23,6.33
95,bhadrachalam,64,IN,1537865320,83,17.67,80.89,85.66,5.77
96,hithadhoo,32,MV,1537865320,100,-0.6,73.08,84.31,7.23
97,jamestown,0,AU,1537865320,36,-33.21,138.6,57.31,6.33
98,carmo do rio verde,0,BR,1537865321,73,-15.36,-49.71,66.4,1.74
99,general higinio morinigo,12,PY,1537865321,75,-25.95,-55.92,68.92,2.98
100,airai,12,TL,1537865321,43,-8.93,125.41,81.16,1.25
101,radom,0,PL,1537865322,82,51.4,21.15,50.65,16.17
102,tutoia,8,BR,1537865322,83,-2.76,-42.27,77.56,15.46
103,talnakh,0,RU,1537865323,89,69.49,88.39,44.26,10.36
104,sohbatpur,0,PK,1537865323,41,28.52,68.54,100.06,5.55
105,santa isabel do rio negro,32,BR,1537865323,88,-0.41,-65.02,77.11,2.98
106,prince rupert,90,CA,1537864800,100,54.32,-130.32,53.6,2.24
107,muroto,75,JP,1537862400,53,33.37,134.14,77.0,13.87
108,utica,90,US,1537861980,89,43.1,-75.23,51.08,14.99
109,saldanha,0,PT,1537865324,42,41.42,-6.55,57.85,8.79
110,rehoboth,8,NA,1537865325,32,-23.31,17.08,79.45,7.29
111,muros,0,ES,1537864200,58,42.77,-9.06,59.0,10.29
112,ancud,80,CL,1537865325,75,-41.87,-73.83,45.7,7.23
113,namibe,12,AO,1537865326,97,-15.19,12.15,67.39,5.5
114,dikson,92,RU,1537865326,94,73.51,80.55,40.3,27.36
115,kieta,92,PG,1537865326,100,-6.22,155.63,73.96,4.09
116,severo-kurilsk,48,RU,1537865326,94,50.68,156.12,51.73,11.88
117,constitucion,56,MX,1537865327,94,23.99,-104.67,54.61,4.38
118,belaya gora,80,RU,1537865327,89,68.54,146.19,34.45,3.27
119,port lincoln,12,AU,1537865327,88,-34.72,135.86,56.32,12.03
120,fort saint james,36,CA,1537865328,84,54.43,-124.25,44.08,4.99
121,port moresby,40,PG,1537862400,78,-9.47,147.16,77.0,19.46
122,lagoa,0,PT,1537864200,30,37.14,-8.45,84.2,9.17
123,kahului,1,US,1537862160,87,20.89,-156.47,77.0,6.89
124,nikolskoye,75,RU,1537862400,70,59.7,30.79,46.4,15.66
125,dunedin,20,NZ,1537865313,72,-45.87,170.5,41.74,24.74
126,shingu,75,JP,1537862400,69,33.72,135.99,73.4,8.05
127,sao filipe,0,CV,1537865330,98,14.9,-24.5,76.93,10.36
128,presidencia roque saenz pena,75,AR,1537860720,94,-26.79,-60.44,69.8,8.05
129,manado,40,ID,1537864200,94,1.49,124.85,77.0,2.24
130,east london,0,ZA,1537862400,37,-33.02,27.91,82.4,10.29
131,cidreira,80,BR,1537865331,96,-30.17,-50.22,63.88,13.38
132,rorvik,75,NO,1537863600,81,64.86,11.24,51.8,17.22
133,araouane,32,ML,1537865332,45,18.9,-3.53,87.73,4.72
134,luderitz,56,NA,1537865332,100,-26.65,15.16,55.06,2.82
135,provideniya,36,RU,1537865333,100,64.42,-173.23,43.27,10.02
136,college,90,US,1537862280,94,64.86,-147.8,44.96,12.75
137,cabo san lucas,8,MX,1537865114,100,22.89,-109.91,81.79,8.57
138,uni,92,RU,1537865333,87,57.75,51.49,55.51,7.4
